stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
"MOBIITI:Quay:112042","CLB02","Coulounieix Bourg",,"poteau",45.157398,0.688979,,,0,"MOBIITI:StopPlace:77274",,1,,
"MOBIITI:Quay:112284","EglHt02","Les Eglantiers Hauts",,,45.151978,0.688909,,,0,"MOBIITI:StopPlace:77441",,2,,
"MOBIITI:Quay:112045","LAB01","Jean Labutie",,"poteau",45.187710,0.692958,,,0,"MOBIITI:StopPlace:77276",,2,,
"MOBIITI:Quay:112044","VED02","Jules Védrines",,"poteau",45.188717,0.690873,,,0,"MOBIITI:StopPlace:77275",,2,,
"MOBIITI:Quay:112281","HAG02","Les Hauts de l'Agora",,"poteau",45.178108,0.756461,,,0,"MOBIITI:StopPlace:77439",,2,,
"MOBIITI:Quay:112280","HAG01","Les Hauts de l'Agora",,"poteau",45.177704,0.755787,,,0,"MOBIITI:StopPlace:77439",,2,,
"MOBIITI:Quay:112041","CLB01","Coulounieix Bourg",,"abribus MDO",45.157585,0.688330,,,0,"MOBIITI:StopPlace:77274",,1,,
"MOBIITI:Quay:112283","EglHt01","Les Eglantiers Hauts",,,45.152351,0.688941,,,0,"MOBIITI:StopPlace:77441",,2,,
"MOBIITI:Quay:112040","4rt01","Les 4 Routes",,"abribus SES",45.163254,0.686118,,,0,"MOBIITI:StopPlace:77273",,2,,
"MOBIITI:Quay:112282","EcJCu01","Ecole Joliot Curie",,,45.184425,0.745740,,,0,"MOBIITI:StopPlace:77440",,2,,
"MOBIITI:Quay:112036","Doj04","Dojo Départemental",,"poteau",45.170795,0.689311,"",,0,"MOBIITI:StopPlace:77271",,1,,
"MOBIITI:Quay:112278","CrxBx02","La Croix Bertrix",,,45.178471,0.738829,,,0,"MOBIITI:StopPlace:77438",,2,,
"MOBIITI:Quay:112035","Doj02","Dojo Départemental",,"Abribus MDO",45.170788,0.688775,"",,0,"MOBIITI:StopPlace:77271",,1,,
"MOBIITI:Quay:112277","Jalaj01","Les Jalajoux",,,45.243114,0.621209,,,0,"MOBIITI:StopPlace:77437",,2,,
"MOBIITI:Quay:112038","PLA02","Plancheix",,"poteau",45.160889,0.686322,,,0,"MOBIITI:StopPlace:77272",,2,,
"MOBIITI:Quay:112037","PLA01","Plancheix",,"poteau",45.160927,0.686500,,,0,"MOBIITI:StopPlace:77272",,2,,
"MOBIITI:Quay:112279","CrxBx01","La Croix Bertrix",,,45.178085,0.738971,,,0,"MOBIITI:StopPlace:77438",,2,,
"MOBIITI:Quay:112032","LYA01","Lycée Agricole",,"abribus MDO",45.174870,0.697026,,,0,"MOBIITI:StopPlace:77270",,1,,
"MOBIITI:Quay:112274","HanMu01","Hangar Municipal",,,45.233883,0.616259,,,0,"MOBIITI:StopPlace:77434",,2,,
"MOBIITI:Quay:112273","CrxBi01","Croix de Biras",,,45.228527,0.619961,,,0,"MOBIITI:StopPlace:77433",,2,,
"MOBIITI:Quay:112034","Doj01","Dojo Départemental",,"poteau",45.170444,0.689055,"",,0,"MOBIITI:StopPlace:77271",,1,,
"MOBIITI:Quay:112276","Genet01","Les Genets",,,45.218163,0.618047,,,0,"MOBIITI:StopPlace:77436",,2,,
"MOBIITI:Quay:112033","LYA02","Lycée Agricole",,"poteau",45.174591,0.696302,,,0,"MOBIITI:StopPlace:77270",,1,,
"MOBIITI:Quay:112275","PuyMe01","Le Puy de Merlande",,,45.242821,0.637037,,,0,"MOBIITI:StopPlace:77435",,2,,
"MOBIITI:Quay:112039","4rt02","Les 4 Routes",,"poteau",45.163883,0.685724,,,0,"MOBIITI:StopPlace:77273",,2,,
"MOBIITI:Quay:112270","Bruni01","Les Brunies",,,45.216351,0.634672,,,0,"MOBIITI:StopPlace:77430",,2,,
"MOBIITI:Quay:112030","CCh01","Clos-Chassaing",,"poteau",45.190399,0.715257,,,0,"MOBIITI:StopPlace:77268",,2,,
"MOBIITI:Quay:112272","ChGoE01","Chapelle Gonaguet Ecole",,,45.231491,0.610013,,,0,"MOBIITI:StopPlace:77432",,2,,
